"saf_id","n_adj","tipo","med_real","share_directa","min_ej","n_loc","med_km","presupuesto","estructura","dotacion","A_escala","A_directa","A_tipo","A_cohorte","A_anclaje","A_institucional","A_presupuesto","S_dotacion"
"209",93,"administracion",4499133.33784893,0.602150537634409,2019,1,0,989.69287,"administracion_descentralizada",70,"media","mayoria_directa","administracion","2019_21","una_sede","administracion_descentralizada","bajo","1"
"250",302,"seguridad_defensa",2089185.5604247,0.473509933774834,2018,1,0,780825.921078,"administracion_descentralizada",322,"chica","mixto","seguridad_defensa","pre2019","una_sede","administracion_descentralizada","alto","1"
"301",805,"administracion",10637284.7002921,0.46583850931677,2016,1,0,21059.482123,"administracion_centralizada",NA,"grande","mixto","administracion","pre2019","una_sede","administracion_centralizada","medio","sin_dato"
"303",413,"salud_social",2641133.09668555,0.753026634382567,2017,1,0,19612.981394,"administracion_centralizada",NA,"chica","mayoria_directa","salud_social","pre2019","una_sede","administracion_centralizada","medio","sin_dato"
"305",905,"administracion",10456527.0021865,0.425414364640884,2016,1,0,48449.815675,"administracion_centralizada",NA,"grande","mixto","administracion","pre2019","una_sede","administracion_centralizada","medio","sin_dato"
"307",844,"administracion",4334273.2965161,0.517772511848341,2016,1,0,188314.79902,"administracion_centralizada",NA,"media","mayoria_directa","administracion","pre2019","una_sede","administracion_centralizada","alto","sin_dato"
"310",993,"salud_social",248901355.923284,0.390735146022155,2017,1,0,442807.18802,"administracion_centralizada",NA,"grande","mixto","salud_social","pre2019","una_sede","administracion_centralizada","alto","sin_dato"
"311",1126,"salud_social",164113515.686669,0.382770870337478,2016,1,11.6084026781501,2117666.320981,"administracion_centralizada",NA,"grande","mixto","salud_social","pre2019","una_sede","administracion_centralizada","alto","sin_dato"
"317",426,"administracion",8276894.85717859,0.422535211267606,2017,1,0,50574.036621,"administracion_centralizada",NA,"media","mixto","administracion","pre2019","una_sede","administracion_centralizada","medio","sin_dato"
"321",346,"administracion",12109013.6281629,0.23121387283237,2017,1,0,15624.389657,"administracion_desconcentrada",1276,"grande","mixto","administracion","pre2019","una_sede","administracion_desconcentrada","medio","3"
"322",655,"administracion",13145945.7471488,0.323664122137405,2017,1,0,73159.166253,"administracion_centralizada",NA,"grande","mixto","administracion","pre2019","una_sede","administracion_centralizada","alto","sin_dato"
"323",66,"administracion",1166655.25921531,0.803030303030303,2017,1,0,510.456122,"administracion_desconcentrada",43,"chica","mayoria_directa","administracion","pre2019","una_sede","administracion_desconcentrada","bajo","1"
"325",496,"administracion",14732316.1106031,0.290322580645161,2017,1,0,249040.708559,"administracion_centralizada",NA,"grande","mixto","administracion","pre2019","una_sede","administracion_centralizada","alto","sin_dato"
"326",266,"seguridad_defensa",38012024.262504,0.206766917293233,2018,1,0,295213.534665,"administracion_descentralizada",322,"grande","mixto","seguridad_defensa","pre2019","una_sede","administracion_descentralizada","alto","1"
"327",246,"infraestructura",11373757.6862169,0.434959349593496,2017,1,0,596743.594701,"administracion_centralizada",NA,"grande","mixto","infraestructura","pre2019","una_sede","administracion_centralizada","alto","sin_dato"
"328",52,"administracion",8770432.73911372,0.673076923076923,2016,1,0,2244751.55071,"administracion_centralizada",NA,"media","mayoria_directa","administracion","pre2019","una_sede","administracion_centralizada","alto","sin_dato"
"330",846,"cultura_educacion",115147896.344223,0.463356973995272,2017,1,0,2477153.331851,"administracion_centralizada",NA,"grande","mixto","cultura_educacion","pre2019","una_sede","administracion_centralizada","alto","sin_dato"
"331",266,"seguridad_defensa",32371876.4644583,0.0714285714285714,2017,1,0,125229.682424,"administracion_descentralizada",NA,"grande","mixto","seguridad_defensa","pre2019","una_sede","administracion_descentralizada","alto","sin_dato"
"332",462,"administracion",5593228.79579402,0.16017316017316,2016,1,0,20762.367937,"administracion_centralizada",NA,"media","mixto","administracion","pre2019","una_sede","administracion_centralizada","medio","sin_dato"
"336",265,"ciencia_universidad",12644392.343799,0.392452830188679,2017,1,0,79431.100246,"administracion_centralizada",NA,"grande","mixto","ciencia_universidad","pre2019","una_sede","administracion_centralizada","alto","sin_dato"
"337",1473,"cultura_educacion",9948638.54779455,0.405974202308215,2016,1,0,NA,"administracion_centralizada",NA,"grande","mixto","cultura_educacion","pre2019","una_sede","administracion_centralizada","sin_presupuesto","sin_dato"
"338",210,"administracion",7229075.81487353,0.376190476190476,2016,1,0,4492.497069,"administracion_centralizada",NA,"media","mixto","administracion","pre2019","una_sede","administracion_centralizada","bajo","sin_dato"
"341",177,"salud_social",11038917.0219708,0.576271186440678,2017,1,0,36797.364075,"administracion_descentralizada",NA,"grande","mayoria_directa","salud_social","pre2019","una_sede","administracion_descentralizada","medio","sin_dato"
"343",714,"seguridad_defensa",13149945.3746151,0.301120448179272,2016,1,0,78567.436627,"administracion_centralizada",NA,"grande","mixto","seguridad_defensa","pre2019","una_sede","administracion_centralizada","alto","sin_dato"
"345",86,"salud_social",6880294.98046638,0.430232558139535,2017,1,0,2746.441219,"administracion_desconcentrada",152,"media","mixto","salud_social","pre2019","una_sede","administracion_desconcentrada","bajo","1"
"347",294,"administracion",5671317.9962062,0.700680272108844,2017,1,0,NA,"administracion_centralizada",NA,"media","mayoria_directa","administracion","pre2019","una_sede","administracion_centralizada","sin_presupuesto","sin_dato"
"349",163,"administracion",5070168.4539874,0.785276073619632,2019,1,0,2000.316826,"administracion_desconcentrada",167,"media","mayoria_directa","administracion","2019_21","una_sede","administracion_desconcentrada","bajo","1"
"350",835,"salud_social",16236446.9921236,0.355688622754491,2017,1,9.86123107296568,119738.306887,"administracion_centralizada",NA,"grande","mixto","salud_social","pre2019","una_sede","administracion_centralizada","alto","sin_dato"
"357",526,"administracion",16289155.7106591,0.231939163498099,2017,1,0,56711.277736,"administracion_centralizada",NA,"grande","mixto","administracion","pre2019","una_sede","administracion_centralizada","medio","sin_dato"
"362",442,"administracion",28101545.2464427,0.479638009049774,2016,1,0,225995.396715,"administracion_centralizada",NA,"grande","mixto","administracion","pre2019","una_sede","administracion_centralizada","alto","sin_dato"
"363",211,"administracion",20943133.1578364,0.42654028436019,2017,1,0,113222.978827,"administracion_centralizada",NA,"grande","mixto","administracion","pre2019","una_sede","administracion_centralizada","alto","sin_dato"
"364",197,"infraestructura",3682509.73137558,0.593908629441624,2018,1,0,409960.669569,"administracion_centralizada",NA,"chica","mayoria_directa","infraestructura","pre2019","una_sede","administracion_centralizada","alto","sin_dato"
"365",169,"infraestructura",9311345.91826062,0.443786982248521,2020,1,0,427034.297136,"administracion_centralizada",NA,"media","mixto","infraestructura","2019_21","una_sede","administracion_centralizada","alto","sin_dato"
"366",221,"administracion",1716328.84014272,0.194570135746606,2016,1,0,NA,"administracion_centralizada",NA,"chica","mixto","administracion","pre2019","una_sede","administracion_centralizada","sin_presupuesto","sin_dato"
"368",84,"administracion",12704680.3076566,0.357142857142857,2020,1,0,50562.403709,"administracion_centralizada",NA,"grande","mixto","administracion","2019_21","una_sede","administracion_centralizada","medio","sin_dato"
"370",625,"seguridad_defensa",2433960,0.36,2017,1,0,27804.323165,"administracion_centralizada",NA,"chica","mixto","seguridad_defensa","pre2019","una_sede","administracion_centralizada","medio","sin_dato"
"371",2486,"seguridad_defensa",3144176.40689168,0.106194690265487,2018,14,12.8186970285647,12894.757956,"administracion_desconcentrada",360,"chica","mixto","seguridad_defensa","pre2019","multi_sede","administracion_desconcentrada","medio","2"
"372",136,"seguridad_defensa",4347759.88297232,0.573529411764706,2017,NA,NA,3984.66232,"administracion_descentralizada",NA,"media","mayoria_directa","seguridad_defensa","pre2019","sin_geo","administracion_descentralizada","bajo","sin_dato"
"374",37648,"seguridad_defensa",2251986.49312753,0.0291117722056949,2019,15,17.2606028135051,445070.148802,"administracion_desconcentrada",6374,"chica","mixto","seguridad_defensa","2019_21","multi_sede","administracion_desconcentrada","alto","3"
"375",13315,"seguridad_defensa",2018579.48469587,0.766729252722493,2018,77,318.040265860518,421655.948859,"administracion_desconcentrada",689,"chica","mayoria_directa","seguridad_defensa","pre2019","multi_sede","administracion_desconcentrada","alto","2"
"376",1579,"seguridad_defensa",6652539.49123979,0.1931602279924,2017,1,0,2671.581705,"administracion_centralizada",NA,"media","mixto","seguridad_defensa","pre2019","una_sede","administracion_centralizada","bajo","sin_dato"
