unidad_ejecutora_id,unidad_ejecutora_desc
537,Dirección de Coordinación y Política de Recursos Humanos
538,Servicio Nacional de Rehabilitación
539,Servicio de Aviación
541,Servicio de Buques Guardacostas
542,Servicio de Comunicaciones
543,Bicentenario de la Revolución de Mayo 1810-2010
544,Dirección del Servicios de Inteligencia
545,Sindicatura General de la Nación
546,Dirección de Aviación del Ejército
547,Presidencia
548,Dirección de Acreditación de Carreras
549,Dirección de Evaluación Institucional
551,"Dirección de Desarrollo, Planeamiento y Relaciones Internacionales"
552,Subdirección de Retiros y Pasividades
553,Unidad Ejecutora Central BIRF 7843-AR
554,Dirección General de Aeronavegabilidad Militar
555,Banco Nacional de Datos Genéticos
557,Dirección Nacional de Acuicultura
558,Subgerencia de Administración de la Superintendencia de Servicios de Salud
559,Gerencia de Control de Gestión del Sector Público No Financiero
560,Subgerencia de Mantenimiento y Equipos
561,Gerencia de Control Financiero del Sector Público No Financiero
562,Dirección de Capacitación y Campañas Viales
563,Programa de Fortalecimiento de la Seguridad Vial (BIRF Nº 7861)
564,"Dirección de Operaciones para la Seguridad, Defensa y Cooperación Internacional"
566,Subgerencia de Obras y Concesiones
567,Subdirección de Cooperación Transfronteriza y Mercosur
569,Dirección de Inteligencia Criminal e Investigaciones
570,Dirección de Protección Ambiental
571,Dirección de Informática y Comunicaciones
572,"Servicio de Salvamento, Incendio y Protección Ambiental"
573,Dirección Nacional de Planeamiento Educativo
574,Dirección Nacional de Salud Mental y Adicciones
575,Coordinación General del Programa de Cooperacion Económica Financiera Hispano Argentina
578,Subjefatura Estado Mayor General del Ejército
580,Subsecretaría General de la Defensoría del Pueblo
582,Gerencia de Obras e Infraestructura
583,Presidencia del Instituto Nacional de la Propiedad Industrial
584,Unidad de Gestión Ambiental
585,Centro Regional Buenos Aires Norte
586,Centro Regional Buenos Aires Sur
587,Centro Regional Noroeste Argentino Norte
588,Centro Regional Noroeste Argentino Sur
589,Centro Regional Córdoba
590,Centro Regional Cuyo
591,Subsecretaría de Programas de Prevención y Promoción
593,Centro Regional La Pampa - San Luis
594,Centro Regional Patagonia Sur
595,Centro Regional Patagonia Norte
596,Centro Regional Chaco-Formosa
597,Centro Regional Mesopotamia
598,Centro Regional Santa Fe
599,Centro Regional Entre Ríos
600,Centro Regional Metropolitano
601,Estación Experimental Agropecuaria Mercedes
602,Gerencia Servicios Complementarios
603,"Secretaría de Coordinación del Ministerio de Trabajo, Empleo y Seguridad Social"
604,Gerencia de Servicios Complementarios Castelar
605,Estación Experimental Agropecuaria Covas
606,Unidad Ejecutora del Préstamo BIRF 7617
607,Secretaría de Minería
608,Dirección de Promoción y Control de Enfermedades No Transmisibles
609,Subsecretaría de Obras Públicas
610,Subsecretaría de Presupuesto
612,Unidad Ejecutora Central (BID 1903/OC-AR y 2788/OC-AR)
613,Coordinación General Programa Cooperación Económica y Financiera Hispano-Argentina
614,Dirección Enfermedades Transmisibles por Vectores
615,Subsecretaría de Política Latinoamericana
617,Dirección Nacional del Deporte Social
618,Dirección Nacional de Comunicación Estratégica
619,Secretaría de Economía Social
620,Secretaría de Deporte
622,Coordinación de Ciencia y Tecnología Aplicada al Deporte y Servicio Médico
623,Dirección de Asistencia Directa por Situaciones Especiales
624,Subsecretaría de Abordaje Territorial
625,Dirección Nacional de Apoyo Logístico
626,Subsecretaría de Organización y Capacitación Popular
627,Subsecretaría de Fortalecimiento Institucional
628,Comisión Nacional de Coordinación del Programa de Promoción del Microcrédito para el Desar
629,Coordinación Nacional PROHUERTA
630,Secretaría de Coordinación y Monitoreo Institucional
631,Superintendencia de Administración
632,Superintendencia de Riesgos del Trabajo
634,Superintendencia de Servicios de Salud
635,Superintendencia y Direcciones Generales
636,Teatro Nacional Cervantes
