"uoc_id","saf_id","sede_provincia","tipo","rubro_modal","anclado","n_adj","n_sup","acceso","contenido","uA1","uA2","n_sedes","N_distribuido","N_tamano","N_juris","N_fundacion","N_rango","N_presupuesto","S_escala","S_directa"
"381|Departamento Contrataciones Córdoba - UOC 40/49",381,"Córdoba","seguridad_defensa","FERRETERIA",TRUE,674,204,-0.0358794128464917,-0.627698035289398,-0.471926831376419,-0.304186126192194,11,"distribuido","grande","Córdoba","antiguo","desconcentrada","alto","chica","mayoria_directa"
"381|Departamento Contrataciones Córdoba - UOC 40/51",381,"Córdoba","seguridad_defensa","PROD. MEDICO/FARMACEUTICOS/LAB",TRUE,585,182,0.185816972016756,-0.542408554241207,-0.471926831376419,-0.304186126192194,11,"distribuido","grande","Córdoba","antiguo","desconcentrada","alto","media","mayoria_directa"
"381|Departamento Contrataciones Córdoba - UOC 40/52",381,"Córdoba","seguridad_defensa","FERRETERIA",TRUE,295,125,-0.0953787151553604,-0.602915385545122,-0.447851561446162,-0.067825967633785,11,"distribuido","media","Córdoba","antiguo","desconcentrada","alto","media","mayoria_directa"
"382|279/000 - Departamento de Compras - PSA",382,"CABA","seguridad_defensa","MANT. REPARACION Y LIMPIEZA",FALSE,371,178,0.315584736920354,-0.453529009137279,0.807188581306449,-0.999511475370225,1,"una_sede","grande","CABA","reciente","desconcentrada","alto","grande","mixto"
"388|505 - MINISTERIO DE CAPITAL HUMANO",388,"CABA","salud_social","ELEMENTOS DE LIMPIEZA",FALSE,33,30,0.225497407151294,-0.466785386063603,1.27172254712952,-1.35192056978525,1,"una_sede","chica","CABA","reciente","centralizada","alto","media","mixto"
"450|41 - División Compras y Contrataciones-IGN",450,"CABA","ciencia_universidad","LIBRERIA PAP. Y UTILES OFICINA",FALSE,318,172,0.0746740697599302,-0.516730630286056,1.18869204154913,0.202598277412117,1,"una_sede","media","CABA","antiguo","descentralizada","bajo","media","mayoria_directa"
"452|289 - Dirección General de Administración-SMN",452,"CABA","ciencia_universidad","SERV. PROFESIONAL Y COMERCIAL",FALSE,197,114,0.423960254460642,-0.268965077606265,0.791609154622315,0.574305495608993,1,"una_sede","media","CABA","antiguo","descentralizada","medio","grande","mixto"
"470|43 - Departamento de Compras  - Instituto de Ayuda Financiera para pago de Retiros y Pensiones Militares - Ministerio de Defensa",470,"CABA","seguridad_defensa","SERV. PROFESIONAL Y COMERCIAL",FALSE,365,175,0.189688719898954,-0.342149453656662,0.582129986950366,0.0563644727505277,1,"una_sede","media","CABA","antiguo","descentralizada","alto","grande","mayoria_directa"
"602|44/000 - Gerencia de Servicios Centrales - CNV",602,"CABA","administracion","SERV. PROFESIONAL Y COMERCIAL",FALSE,350,158,0.311263055313227,-0.178994362484058,1.68834365393451,0.489291454352683,1,"una_sede","media","CABA","medio","descentralizada","bajo","grande","mayoria_directa"
"603|45 - Dirección General de Administración-SSN",603,"CABA","administracion","INFORMATICA",FALSE,127,64,0.458873412757072,-0.208914882847574,0.791609154622315,0.574305495608993,1,"una_sede","media","CABA","antiguo","descentralizada","medio","grande","mixto"
